ID,Sporelayer,Quickener,Generation,Birth_step,Death_step,Lifespan,Sex_check
1400745,1093536,1093536,102,10000,0,-10000,0
1410477,1394974,1394974,114,10000,0,-10000,0
1447191,1426678,1426678,106,10000,0,-10000,0
1449481,431590,431590,70,10000,0,-10000,0
1478424,1276889,1276889,102,10000,0,-10000,0
1501354,1287011,1287011,140,10000,0,-10000,0
1510558,1475237,1475237,111,10000,0,-10000,0
1519398,1433038,1433038,114,10000,0,-10000,0
1531595,972875,972875,114,10000,0,-10000,0
1546380,1543632,1543632,109,10000,0,-10000,0
1551950,1280793,1280793,151,10000,0,-10000,0
1556996,1547584,1547584,164,10000,0,-10000,0
1572936,1556996,1556996,165,10000,0,-10000,0
1574662,1313313,1313313,150,10000,0,-10000,0
1575288,1545840,1545840,195,10000,0,-10000,0
1581704,1176215,1176215,113,10000,0,-10000,0
1584628,1575288,1575288,196,10000,0,-10000,0
1585160,1553307,1553307,57,10000,0,-10000,0
1587560,1313313,1313313,150,10000,0,-10000,0
1596243,1554534,1554534,186,10000,0,-10000,0
1597263,1338388,1338388,16,10000,0,-10000,0
1611195,1394974,1394974,114,10000,0,-10000,0
1615479,1429907,1429907,153,10000,0,-10000,0
1621489,880595,880595,146,10000,0,-10000,0
1622676,1545269,1545269,182,10000,0,-10000,0
1624767,1615488,1615488,154,10000,0,-10000,0
1630814,1621489,1621489,147,10000,0,-10000,0
1644512,1387161,1387161,109,10000,0,-10000,0
1644513,1394974,1394974,114,10000,0,-10000,0
1652562,1637005,1637005,177,10000,0,-10000,0
1656235,1646958,1646958,86,10000,0,-10000,0
1657162,1401956,1401956,154,10000,0,-10000,0
1662643,1590755,1590755,106,10000,0,-10000,0
1680270,665487,665487,108,10000,0,-10000,0
1687233,1519398,1519398,115,10000,0,-10000,0
1689242,1666644,1666644,140,10000,0,-10000,0
1689412,1258900,1258900,116,10000,0,-10000,0
1691059,1581704,1581704,114,10000,0,-10000,0
1692198,1346234,1346234,117,10000,0,-10000,0
1710917,1581704,1581704,114,10000,0,-10000,0
1717790,1374059,1374059,155,10000,0,-10000,0
1721853,1686081,1686081,229,10000,0,-10000,0
