id,ancestor_list,origin_time,destruction_time,num_orgs,tot_orgs,num_offspring,total_offspring,depth,taxinfo,taxinfo,taxinfo,taxinfo,taxinfo,taxinfo,taxinfo,taxinfo,taxinfo,taxinfo,taxinfo,taxinfo
810,[775],1871,inf,3,15,3,3,34,0.3579467913501482,0.3579467913501482,0.3579467913501482,0.3579467913501482,0.3579467913501482,0.3579467913501482,0.3579467913501482,0.3579467913501482,0.3579467913501482,0.3579467913501482,0.3579467913501482,0.3579467913501482
813,[789],1876,inf,2,4,1,2,16,0.01654553813763002,0.01654553813763002,0.01654553813763002,0.01654553813763002,0.01654553813763002,0.01654553813763002,0.01654553813763002,0.01654553813763002,0.01654553813763002,0.01654553813763002,0.01654553813763002,0.01654553813763002
830,[821],1912,inf,3,5,1,2,17,0.35996653040012233,0.35996653040012233,0.35996653040012233,0.35996653040012233,0.35996653040012233,0.35996653040012233,0.35996653040012233,0.35996653040012233,0.35996653040012233,0.35996653040012233,0.35996653040012233,0.35996653040012233
831,[817],1914,inf,1,1,1,2,15,0.3473452193386093,0.3473452193386093,0.3473452193386093,0.3473452193386093,0.3473452193386093,0.3473452193386093,0.3473452193386093,0.3473452193386093,0.3473452193386093,0.3473452193386093,0.3473452193386093,0.3473452193386093
857,[813],1973,inf,1,2,1,1,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836,[810],1927,inf,1,1,0,0,35,0.3840434864125903,0.3840434864125903,0.3840434864125903,0.3840434864125903,0.3840434864125903,0.3840434864125903,0.3840434864125903,0.3840434864125903,0.3840434864125903,0.3840434864125903,0.3840434864125903,0.3840434864125903
843,[837],1941,inf,1,1,0,0,18,0.3082824878970968,0.3082824878970968,0.3082824878970968,0.3082824878970968,0.3082824878970968,0.3082824878970968,0.3082824878970968,0.3082824878970968,0.3082824878970968,0.3082824878970968,0.3082824878970968,0.3082824878970968
845,[650],1948,inf,1,2,1,2,12,0.2669736304804919,0.2669736304804919,0.2669736304804919,0.2669736304804919,0.2669736304804919,0.2669736304804919,0.2669736304804919,0.2669736304804919,0.2669736304804919,0.2669736304804919,0.2669736304804919,0.2669736304804919
846,[810],1949,inf,1,1,0,0,35,0.347764112950348,0.347764112950348,0.347764112950348,0.347764112950348,0.347764112950348,0.347764112950348,0.347764112950348,0.347764112950348,0.347764112950348,0.347764112950348,0.347764112950348,0.347764112950348
853,[746],1964,inf,1,2,0,0,14,0.27790913760907493,0.27790913760907493,0.27790913760907493,0.27790913760907493,0.27790913760907493,0.27790913760907493,0.27790913760907493,0.27790913760907493,0.27790913760907493,0.27790913760907493,0.27790913760907493,0.27790913760907493
855,[817],1968,inf,1,1,0,0,15,0.25523607035051904,0.25523607035051904,0.25523607035051904,0.25523607035051904,0.25523607035051904,0.25523607035051904,0.25523607035051904,0.25523607035051904,0.25523607035051904,0.25523607035051904,0.25523607035051904,0.25523607035051904
