,0
496262,81
524794,81
496255,81
524764,81
267316,81
530645,81
487764,81
384553,81
387165,81
490608,81
487804,81
484906,81
487784,81
528012,81
290136,81
278614,81
278641,81
278642,81
496265,81
397989,81
510491,81
482120,81
297069,81
467799,81
490611,81
297056,81
490629,81
487782,81
297055,81
516216,81
395291,81
269930,81
496261,81
486554,80
453513,80
489349,80
517690,80
517691,80
483708,80
532319,80
489352,80
317389,80
435974,80
456345,80
469432,80
456363,80
466621,80
506403,80
466622,80
263133,80
273133,80
272807,80
272833,80
466628,80
506487,80
286786,80
530221,80
485118,80
263169,80
478050,80
377904,80
533218,80
480949,80
455438,80
455379,80
375250,80
459185,80
279891,80
492207,80
533206,80
314958,80
517747,80
533219,80
504955,80
307764,80
447776,80
293717,80
277695,80
277651,80
277623,80
509295,80
512043,80
509265,80
512071,80
286256,80
452610,80
291415,80
529335,80
261173,80
314992,80
458124,80
478019,80
277622,80
458167,80
478103,80
460918,80
275220,80
509228,80
509230,80
500742,80
512096,80
463774,80
480918,80
514931,80
475178,80
495066,80
472333,80
495069,80
268542,80
447085,80
469420,80
380547,80
372685,80
449881,80
295412,80
514907,80
497875,80
312516,80
449842,80
497884,80
487613,80
270629,80
282772,79
485288,79
456916,79
490950,79
505169,79
353212,79
423765,79
274187,79
264482,79
432260,79
278761,79
533898,79
350695,79
493809,79
493811,79
459703,79
482476,79
499468,79
520022,79
301934,79
290379,79
269673,79
426478,79
522967,79
263370,79
426449,79
269339,79
485308,79
266860,79
522965,79
496662,79
445901,79
530996,79
337376,79
309069,79
531520,79
291817,79
274327,79
471022,79
279146,79
284152,79
496711,79
502307,79
445846,79
468169,79
355731,79
471113,79
276619,79
276655,79
265427,79
434726,79
368714,79
368719,79
259809,79
272132,79
525928,79
272114,79
431964,79
508070,79
479533,79
473987,79
468248,79
358253,79
508030,79
508029,79
438018,79
508018,79
508009,79
476791,79
528048,79
479636,79
429210,79
510832,79
510829,79
454176,79
510857,79
462533,79
479646,79
465337,79
432283,79
479627,79
281614,79
533901,79
476811,79
454170,79
462532,79
521636,78
486855,78
264468,78
484032,78
501086,78
439082,78
484110,78
439113,78
271133,78
268327,78
261201,78
461268,78
266699,78
264470,78
262355,78
510327,78
284741,78
511766,78
256470,78
258096,78
268858,78
260206,78
260208,78
433562,78
492557,78
303242,78
486851,78
492564,78
260217,78
338439,78
467017,78
529708,78
441805,78
277848,78
518088,78
303262,78
308041,78
433526,78
467046,78
274770,78
349396,78
486850,78
