C:\Program Files (x86)\Evolve>evolve_batch s 10000u "C:\Users\Julio Hong\Documents\LioHong\Evolve-Simulation\\Runs\Run_015_big_bang\big_bang_20001.evolve" "C:\Users\Julio Hong\Documents\LioHong\Evolve-Simulation\\Runs\Run_015_big_bang\big_bang_30001.evolve"
Input:  C:\Users\Julio Hong\Documents\LioHong\Evolve-Simulation\\Runs\Run_015_big_bang\big_bang_20001.evolve
Output: C:\Users\Julio Hong\Documents\LioHong\Evolve-Simulation\\Runs\Run_015_big_bang\big_bang_30001.evolve
About to simulate universe for 10000 steps...
---------- BEGIN ----------
Step: 136001, Organisms: 7708,  Born: 23544002, Died: 23536295
Step: 137001, Organisms: 7764,  Born: 23716845, Died: 23709082
Step: 138001, Organisms: 7586,  Born: 23889500, Died: 23881915
Step: 139001, Organisms: 7738,  Born: 24064221, Died: 24056484
Step: 140001, Organisms: 7888,  Born: 24238999, Died: 24231112
Step: 141001, Organisms: 7957,  Born: 24413815, Died: 24405859
Step: 142001, Organisms: 7889,  Born: 24591271, Died: 24583383
Step: 143001, Organisms: 8005,  Born: 24767304, Died: 24759300
Step: 144001, Organisms: 7722,  Born: 24940349, Died: 24932628
Step: 145001, Organisms: 7668,  Born: 25114188, Died: 25106521
Step: 146001, Organisms: 7656,  Born: 25285363, Died: 25277708
Step: 147001, Organisms: 7856,  Born: 25455023, Died: 25447168
Step: 148001, Organisms: 7848,  Born: 25625946, Died: 25618099
Step: 149001, Organisms: 7960,  Born: 25799622, Died: 25791663
Step: 150001, Organisms: 7991,  Born: 25974369, Died: 25966379
---------- END ----------
