308282 308182 307114 305:[20000, 20289]
308295 308189 308189 280:[20000, 20064]
308292 307785 307785 287:[20000, 20135]
308290 307505 307505 279:[20000, 20016]
308287 306575 306575 279:[20000, 20022]
308286 308061 305302 256:[20000, 20003]
308301 307049 307803 287:[20000, 20066]
308300 307767 307767 308:[20000, 20121]
308298 306273 306273 287:[20000, 20477]
308307 307919 307919 304:[20000, 20013]
308306 307798 307798 283:[20000, 20015]
308304 307139 307139 285:[20000, 20002]
308315 307659 307659 287:[20000, 20093]
308314 307619 307619 304:[20000, 20034]
308313 307661 307547 287:[20000, 20019]
308311 307145 307145 291:[20000, 20088]
308310 306612 306612 283:[20000, 20122]
308309 305321 305321 231:[20000, 20001]
308329 307675 308230 281:[20000, 20103]
308327 308224 308224 307:[20000, 20092]
308321 307012 307829 306:[20000, 20037]
308319 305680 305680 279:[20000, 20011]
308335 308236 308236 287:[20000, 20090]
308334 307834 308105 286:[20000, 20014]
308333 308098 308098 282:[20000, 20251]
308332 307683 307683 281:[20000, 20121]
308342 308221 308221 244:[20000, 20191]
308341 308108 308108 289:[20000, 20005]
308340 308069 308069 290:[20000, 20067]
308337 306783 306783 283:[20000, 20067]
308348 308076 308076 248:[20000, 20059]
308347 307982 307982 277:[20000, 20269]
308346 307248 307248 285:[20000, 20457]
308355 308257 308257 289:[20000, 20101]
308353 307430 307430 289:[20000, 20001]
308350 305733 305733 303:[20000, 20103]
308360 307582 307582 290:[20000, 20026]
308357 306516 306516 290:[20000, 20051]
308378 307995 308272 306:[20000, 20049]
308376 308150 308150 284:[20000, 20197]
308374 306978 308013 284:[20000, 20118]
308372 308106 307950 302:[20000, 20015]
308384 308270 308270 280:[20000, 20158]
308381 306531 307456 284:[20000, 20052]
308380 307286 307286 283:[20000, 20013]
308390 307955 307955 307:[20000, 20132]
308389 307808 307808 289:[20000, 20050]
308387 305235 306450 302:[20000, 20011]
308385 305979 305979 242:[20000, 20195]
308397 308162 308297 301:[20000, 20001]
308395 306937 308017 301:[20000, 20071]
308402 306267 308039 287:[20000, 20257]
308400 307575 307575 301:[20000, 20014]
308398 306819 306819 242:[20000, 20043]
308410 308304 308304 286:[20000, 20013]
308409 308307 308307 305:[20000, 20049]
308406 307889 307442 305:[20000, 20013]
308405 306852 306852 301:[20000, 20003]
308404 304294 304294 279:[20000, 20068]
308420 308318 308318 287:[20000, 20058]
308419 308299 308299 246:[20000, 20049]
308417 308311 308167 291:[20000, 20087]
308416 308152 308152 246:[20000, 20022]
308415 308052 308052 288:[20000, 20026]
308414 308056 308056 292:[20000, 20172]
308413 308056 308056 292:[20000, 20070]
308412 307998 307998 257:[20000, 20033]
308411 304995 304995 283:[20000, 20022]
308428 308298 308298 288:[20000, 20162]
308425 307783 307783 282:[20000, 20147]
308434 308330 308330 285:[20000, 20062]
308433 308332 308332 282:[20000, 20016]
308432 307461 307461 285:[20000, 20037]
308431 307038 307038 288:[20000, 20003]
308446 307145 308225 291:[20000, 20199]
308444 308071 308071 263:[20000, 20003]
308443 307941 307941 291:[20000, 20010]
308441 307680 307680 306:[20000, 20099]
308440 308347 307227 282:[20000, 20009]
308439 307825 306273 287:[20000, 20176]
308436 305018 305018 279:[20000, 20001]
308457 308349 308349 307:[20000, 20018]
308454 308087 308087 290:[20000, 20135]
308453 307953 307953 282:[20000, 20002]
308452 307891 307891 265:[20000, 20001]
308450 307544 307544 283:[20000, 20055]
308449 307547 307547 287:[20000, 20014]
308448 305321 305321 231:[20000, 20062]
308466 307972 308370 285:[20000, 20132]
308465 307944 308378 307:[20000, 20026]
