ID,Sporelayer,Quickener,Generation,Birth_step,Death_step,Lifespan,Sex_check,cgen
51,37,37,5,250,1949,1699,0,EY_9_AA_9_AA_1_AA_9_AA_2_AA_9_AA_3_AA_9_AA_4_AA_9_AA_5_AA_9_AA_6_AA_9_AA_7_AA_9_AA_8_AA_9_AA_1_ADFA_1_1_APBRAFBMADFB_-1_0_-1_BMAFBMADFC_-1_1_APBRADFD_1_BRAPBRAFBMADFE_1_-1_AP_0_AFBMADFF_0_1_APBRAFBMFG_0_-1_APBRAFBMADFH_-1_-1_APBRAFBMADFIEU_4_DLED_-1_0_DSBQAF_-1_0_DSBQAF_1_1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_APBRAF_0_-1_BMA
52,38,38,8,250,699,449,0,EY_9_AA_9_AA_1_AA_9_AA_2_AA_9_AA_3_AA_9_AA_4_AA_9_AA_5_AA_9_AA_6_AA_9_AA_7_AA_9_AA_8_AA_9_AA_1_ADFA_1_1_APBRAFBMADFB_-1_0_-1_BMAFBMADFC_-1_1_APBRADFD_1_BRAPBRAFBMADFE_1_-1_AP_0_AFBMADFF_0_1_APBRAFBMADFG_0_-1_APBRAFBMADFH_-1_-1_APBRAFBMADFIEU_4_DLED_-1_0_DSBQAF_54_77_-1_0_DSBQAF_1_1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_APBRAF_0_-1_BMA
53,20,20,8,250,1149,899,0,EY_9_AA_9_AA_1_BMAFAA_2_AA_9_AA_3_AA_9_AA_4_AA_9_AA_5_AA_9_AA_6_AA_9_AA_7_AA_9_AA_8_AA_9_AA_1_ADFA_1_1_APBIDDDMADFB_-1_0_-1_AP_0_AFBMFC_-1_1_APBRAFAPBRFD_1_BRAPBRBRAFADFE_1_-1_BMAFBMADADFF_0_DU_94_DADR_1_BMADAFBMADFG_0_-1_APBRAFADFH_-1_-1_APBRAFBMADFIEU_4_DLED_-1_0_DSBQAF_-1_0_DSBQAF_1_1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_APBRAF_0_-1_AA_9
54,49,49,9,250,399,149,0,EY_8_AA_10_AA_0_AA_12_AA_3_AA_7_AA_-3_AA_6_AA_6_AA_10_AA_8_AA_-9_AA_-6_AA_13_AAAA_13_AA_11_AA_12_AA_-2_ADFA_1_1_APAFBMBMADFB_-1_0_-1_BMAFBMADFCAFBMADFD_1_BRAPBRBRAFADBRBRAFFEFF_0_1_APBRAFBMADFG_0_-82_53_AI_-1_APBRAFADFH_1_3_APBMADFIEU_4_DLED_-1_0_DSBQAF_-1_0_DSBQAF_1_1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_APBR_0_-1_BMA
55,50,50,11,250,549,299,0,EY_9_AA_9_AA_1_BMAFAA_2_AA_9_AA_3_AA_9_AA_4_AA_9_AA_5_AA_9_AA_6_AA_9_AA_7_AA_9_AA_8_AA_9_AA_1_ADFA_1_1_APBIDDDMADFB_-1_0_-1_AP_0_AFBMFC_-1_1_APBRAFAPBRFD_1_BRAPBRBRAFADFE_1_-1_BMAFBMADADFF_0_1_BMADAFBMADFG_0_-1_APBRAFADFH_-1_-1_APBRAFBMADADFIEU_4_DLED_-1_0_DSBQAF_-1_0_DSBQAF_1_1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_APBRAF_0_-1_AA_9
56,41,41,6,250,0,-250,0,EY_9_AA_9_AA_1_AA_9_AA_2_AA_9_AA_3_AA_9_AA_4_AA_9_AA_5_AA_9_AA_6_AA_9_AA_7_AA_9_AA_8_AA_9_AA_1_ADFA_1_1_APBRAFBMADFB_-1_0_-1_BMAFBMADFC_-1_1_APBRADFD_1_BRAPBRAFBMADFE_1_-1_AP_0_AFBMADFF_0_1_APBRAFBMADFG_-1_APBRAFAFBMADFH_-1_0_-1_APBRBMADFIEU_4_DLED_-1_0_DSBQAF_-1_0_DSBQAF_1_1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_APBRAF_0_-1_BMA
57,51,51,6,250,1449,1199,0,EY_9_AA_9_AA_1_AA_9_AA_2_AA_9_AA_3_AA_9_AA_4_AA_9_AA_5_AA_9_AA_6_AA_9_AA_7_AA_9_AA_8_AA_9_AA_1_ADFA_1_1_APBRAFBMADFB_-1_0_-1_BMAFBMADFC_-1_1_APBRADFD_1_BRAPBRAFBMADFE_1_-1_AP_0_AFBMADFF_0_1_APBRAFBMFG_0_-1_APBRAFBMADFH_-1_-1_APBRAFBMADFIEU_4_DLED_-1_0_DSBQAF_-1_0_DSBQAF_1_1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_APBRAF_0_-1_BMA
58,43,43,7,250,499,249,0,26
59,33,33,12,300,1149,849,0,EY_9_AA_9_AA_1_BMAFAA_2_AA_9_AA_3_AA_9_AA_4_AA_9_AA_5_AA_9_AA_6_AA_9_AA_7_AA_9_AA_8_AA_9_AA_1_ADFA_1_1_APBIDDDMADFB_-1_0_-1_AP_0_AFBMFC_-1_1_APBRAFAPBRFDBRAFAD_1_BRAPBRBRAFADFE_1_-1_BMAFBMADADFF_0_1_BMADAFBMADFG_0_-1_ADFH_-1_-1_APBRAFBMADFIEU_4_DLED_-1_0_DSBQAF_-1_0_DSBQAF_1_1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_APBRAF_0_-1_AA_9
60,45,45,7,300,349,49,0,EY_9_AA_9_AA_1_AA_9_AA_2_AA_9_AA_3_AA_9_AA_4_AA_9_AA_5_AA_9_AA_6_AA_9_AA_7_AA_9_AA_8_AA_9_AA_1_ADFA_1_1_APBRAFBMADFB_-1_0_-1_BMAFBMADFC_-1_1_APBRAPFD_1_AFBMADFE_1_-1_AP_0_AFBMADFF_0_1_APBRAFBMADFG_0_-1_ADBRAFBMADFH_-1_-1_APBRAFBMADFIEU_4_DLED_-1_0_DSBQAF_-1_0_DSBQAF_1_1_BMAF_0_-1_BMAF_0_-1_BMAF_0_-1_BMAF_0_APBRAF_0_-1_BMA
